session_id,task_key,notes
20260204_235530_prototype_A,prototype_ux_survey,"Navigazione bilanciata, filtri chiari, ricette trovate facilmente. Apprezzata la varietà, ma migliorabile la gestione delle intolleranze."
20260207_233319_prototype_B,prototype_ux_survey,"Troppo scroll, poca chiarezza sulla difficoltà delle ricette. UI un po' datata."
20260206_095530_prototype_A,prototype_ux_survey,"Troppe ricette con carne o speck nei primi, difficile trovare qualcosa di vegetariano. Servirebbe un filtro più preciso."
20260206_103108_prototype_B,prototype_ux_survey,Trovo difficile navigare e le ricette non sono spiegate bene. Vorrei un sito più semplice e con foto più chiare.
20260208_114329_prototype_A,prototype_ux_survey,"Difficile trovare ricette adatte ai miei vincoli alimentari. Servirebbero filtri più specifici (es. senza lattosio, vegetariano)."
20260208_120412_prototype_B,prototype_ux_survey,Filtri per dieta e allergeni renderebbero l’esperienza più fluida.
20260206_182011_prototype_A,prototype_ux_survey,"Navigazione semplice e familiare, ma alcuni filtri potrebbero essere più evidenti. Ricette ben presentate."
20260206_182040_prototype_B,prototype_ux_survey,"Ho scrollato tantissimo e non ho trovato nulla che mi ispirasse davvero. Il sito ha bisogno di filtri più specifici per tipo di cucina (fusion, vegetariana) e ingredienti."
20260208_105358_prototype_A,prototype_ux_survey,"Il sito è abbastanza intuitivo, ma sarebbe utile avere filtri più specifici, ad esempio per tempo di preparazione e ingredienti (senza glutine)."
20260208_105358_prototype_B,prototype_ux_survey,"Il sito è abbastanza intuitivo, ma sarebbe utile avere filtri più specifici, ad esempio per tempo di preparazione e ingredienti (senza glutine). I tag per difficoltà e allergeni sono chiari."
20260208_150800_prototype_B,prototype_ux_survey,L'interfaccia è rapida da navigare. Posso vedere subito più ricette e selezionare velocemente.
20260208_143147_prototype_B,prototype_ux_survey,"Navigazione rapida e scorrevole, ma molti scroll necessari per trovare secondi piatti e dolci. La scelta finale è stata veloce e intuitiva."
20260208_143147_prototype_A,prototype_ux_survey,"Il sito è facile da navigare, ma ci sono poche ricette. Mi piacerebbe vedere più varietà, soprattutto piatti internazionali e fusioni."
20260208_160500_prototype_A,prototype_ux_survey,"Il sito è chiaro e facile da navigare. Alcune ricette richiedono troppo scroll per essere trovate. Buona varietà di primi e secondi, apprezzabile la sezione internazionale."
20260206_141659_prototype_B,prototype_ux_survey,"Il click su 'Mozzarella e Pomodori Secchi' non ha funzionato, un po' frustrante. L'interfaccia è pulita, ma la navigazione potrebbe essere più intuitiva."
20260208_095504_prototype_B,prototype_ux_survey,"Mi è piaciuto poter vedere chiaramente i tempi di preparazione e la difficoltà dei piatti nella lista. Sarebbe interessante avere più filtri per personalizzare ulteriormente la ricerca, ma nel complesso sono molto soddisfatta dell'esperienza."
20260208_225246_prototype_A,prototype_ux_survey,"Troppe ricette normali, poche senza glutine subito visibili. Ho dovuto scrollare tanto e non ho ancora trovato la parmigiana senza glutine. Perdo la pazienza."
20260204_151936_prototype_A,prototype_ux_survey,"Navigazione lenta, molti scroll necessari, poche ricette di interesse personale. Sito poco adatto a gusti specifici."
20260204_172731_prototype_B,prototype_ux_survey,"Navigazione lenta, molti scroll necessari, poche ricette di interesse personale. Sito poco adatto a gusti specifici."
20260209_093109_prototype_A,prototype_ux_survey,"Un po' troppe ricette con formaggio, difficile trovare qualcosa senza lattosio."
20260206_160000_prototype_A,prototype_ux_survey,"Navigazione veloce e intuitiva, ma alcune ricette rapide dovrebbero essere evidenziate meglio. Mi servirebbe un filtro per opzioni senza glutine più chiaro."
20260206_161800_prototype_B,prototype_ux_survey,"Navigazione chiara e veloce, filtri efficaci. Alcune ricette rapide potrebbero essere evidenziate meglio."
20260209_160419_prototype_A,prototype_ux_survey,"Il sito è abbastanza intuitivo, ma mi piacerebbe avere una ricerca più specifica per ingredienti o tipo di cucina (italiana/americana)."
20260209_115123_prototype_B,prototype_ux_survey,Ho dovuto scrollare molto e non ho trovato subito un primo piatto. Servirebbero filtri più specifici per tipo di piatto e tempo di preparazione.
20260207_193846_prototype_A,prototype_ux_survey,Il sito è lento e i click non sempre funzionano. Troppo frustrante.
20260207_193846_prototype_B,prototype_ux_survey,"Troppe opzioni, difficile scegliere velocemente. Servirebbe un filtro per 'ricette veloci'."
20260207_155310_prototype_A,prototype_ux_survey,Troppe poche ricette piccanti e la navigazione è un po' lenta. Serve più varietà e un caricamento più rapido.
20260207_156110_prototype_B,prototype_ux_survey,"Il sito è abbastanza intuitivo, anche se a volte mi sembra un po' troppo pieno di elementi. Però trovo subito quello che cerco, quindi va bene."
20260205_130223_prototype_A,prototype_ux_survey,"Navigazione rapida, filtri chiari, ricette trovate facilmente. Qualche errore nei click, ma esperienza positiva."
20260205_143551_prototype_B,prototype_ux_survey,"Esperienza complessivamente positiva: ricette trovate e filtri chiari, ma il percorso richiede molti click e qualche tentativo ripetuto. Migliorabile la rapidità di accesso ai risultati."
20260207_215245_prototype_B,prototype_ux_survey,"Il sito è facile da usare, ma potrebbe essere utile avere filtri più specifici per le preferenze alimentari."
20260208_150100_prototype_B,prototype_ux_survey,"Navigazione chiara, ricette facili da confrontare. Alcuni scroll ripetitivi potrebbero essere ottimizzati."
20260204_134921_prototype_A,prototype_ux_survey,"Trovo difficile navigare e trovare ricette specifiche. Ci sono troppi 'primi' e non riesco a filtrare per 'secondi' o 'contorni' in modo efficace. Inoltre, non vedo indicazioni chiare sulla difficoltà delle ricette a colpo d'occhio."
20260204_141444_prototype_B,prototype_ux_survey,"Navigazione abbastanza fluida, filtri portate chiari. Qualche difficoltà a trovare subito i secondi piatti, ma esperienza complessivamente positiva."
